Source Name               Right Asc.           Declination
1039+811 ................ 10.739744 .......... 80.910972 
103940 .................. 5.129890 ........... 69.528536 
103998 .................. 5.221143 ........... 73.491190 
104093 .................. 5.412293 ........... 63.386464 
104108 .................. 5.435423 ........... 61.241494 
104187 .................. 5.577083 ........... 81.698124 
104212 .................. 5.625966 ........... 74.688766 
104304 .................. 5.774943 ........... 74.610116 
104467 .................. 6.102084 ........... 67.639993 
104471 .................. 6.106854 ........... 63.835132 
104556 .................. 6.267411 ........... 70.781576 
104602 .................. 6.340179 ........... 65.497917 
104715 .................. 6.592655 ........... 76.866355 
104726 .................. 6.608485 ........... 72.009219 
104741 .................. 6.639022 ........... 60.240182 
1048+717 ................ 10.807672 .......... 71.726649 
1048-191 ................ 10.801839 .......... -19.159924 
104837 .................. 6.838774 ........... 60.928944 
104956 .................. 7.041263 ........... 79.164406 
104974 .................. 7.097207 ........... 83.612150 
1051+213 ................ 10.863553 .......... 21.331198 
105153 .................. 7.441990 ........... 60.545478 
105603 .................. 8.229379 ........... 63.103957 
105646 .................. 8.306159 ........... 61.460722 
1058+015 ................ 10.974890 .......... 1.566340 
105967 .................. 8.855892 ........... 64.418464 
106090 .................. 9.058331 ........... 76.397679 
106207 .................. 9.239039 ........... 61.423318 
106250 .................. 9.337284 ........... 65.011747 
106472 .................. 9.676338 ........... 71.755393 
106659 .................. 9.929706 ........... 70.041144 
106688 .................. 9.964471 ........... 76.612980 
106765 .................. 10.082514 .......... 67.422730 
107058 .................. 10.474013 .......... 81.187467 
107126 .................. 10.568073 .......... 65.005628 
107337 .................. 10.832127 .......... 61.716720 
107554 .................. 11.087939 .......... 65.813743 
107636 .................. 11.181983 .......... 81.731664 
107893 .................. 11.515638 .......... 62.543354 
108213 .................. 11.894393 .......... 86.230361 
108331 .................. 12.021118 .......... 79.087429 
108739 .................. 12.448267 .......... 69.729494 
109074 .................. 12.813647 .......... 61.378384 
109371 .................. 13.131490 .......... 62.983135 
109484 .................. 13.253189 .......... 84.752145 
109591 .................. 13.353336 .......... 61.084805 
109641 .................. 13.410786 .......... 83.308515 
109656 .................. 13.433294 .......... 63.261275 
109889 .................. 13.714778 .......... 66.454862 
1104+382 ................ 11.074256 .......... 38.208791 
110460 .................. 14.374698 .......... 60.965710 
110712 .................. 14.661028 .......... 66.346756 
